ID,LOGIN,REPO,FIRSTSEEN,ISFIRSTCONTRIBUTION
419,orthomind,dcrd,UNKNOWN,0
420,martelletto,dcrd,UNKNOWN,0
421,apuigsech,dcrd,UNKNOWN,0
422,turboroot,dcrd,UNKNOWN,0
423,beldur,dcrd,UNKNOWN,0
424,lologarithm,dcrd,UNKNOWN,0
425,benhc123,dcrd,UNKNOWN,0
426,carryforward,dcrd,UNKNOWN,0
427,csmcanarney,dcrd,UNKNOWN,0
428,shphrd,dcrd,UNKNOWN,0
429,logicminds,dcrd,UNKNOWN,0
430,Reiuiji,dcrd,UNKNOWN,0
431,mvdan,dcrd,UNKNOWN,0
432,evansuva,dcrd,UNKNOWN,0
433,dskloetg,dcrd,UNKNOWN,0
434,federicobond,dcrd,UNKNOWN,0
435,haakonn,dcrd,UNKNOWN,0
436,hectorj,dcrd,UNKNOWN,0
437,ysangkok,dcrd,UNKNOWN,0
438,jyap808,dcrd,UNKNOWN,0
439,justusranvier,dcrd,UNKNOWN,0
440,maicalal,dcrd,UNKNOWN,0
441,mdempsky,dcrd,UNKNOWN,0
442,fanquake,dcrd,UNKNOWN,0
443,teknico,dcrd,UNKNOWN,0
444,oleganza,dcrd,UNKNOWN,0
445,peterzen,dcrd,UNKNOWN,0
446,SG-O,dcrd,UNKNOWN,0
447,samhattangady,dcrd,UNKNOWN,0
448,Sarlor,dcrd,UNKNOWN,0
449,micodon2k10,dcrd,UNKNOWN,0
450,yrashk,dcrd,UNKNOWN,0
451,atriviss,dcrd,UNKNOWN,0
452,drazisil,dcrd,UNKNOWN,0
453,dskloet,dcrd,UNKNOWN,0
454,ggoranov,dcrd,UNKNOWN,0
455,harzo,dcrd,UNKNOWN,0
456,jadeblaquiere,dcrd,UNKNOWN,0
457,ortutay,dcrd,UNKNOWN,0
458,qshuai,dcrd,UNKNOWN,0
459,raedah,dcrd,UNKNOWN,0
460,adiabat,dcrd,UNKNOWN,0
461,zhizhongzhiwai,dcrd,UNKNOWN,0
462,chappjc,dcrdata,UNKNOWN,0
463,gozart1,dcrdata,UNKNOWN,0
464,RogueElement,dcrdata,UNKNOWN,0
465,McEdward,dcrdata,UNKNOWN,0
466,dmigwi,dcrdata,UNKNOWN,0
467,papacarp,dcrdata,UNKNOWN,0
468,buck54321,dcrdata,UNKNOWN,0
469,JFixby,dcrdata,UNKNOWN,0
470,ademuanthony,dcrdata,UNKNOWN,0
471,codemaestro64,dcrdata,UNKNOWN,0
472,SeaLightHouse,dcrdata,UNKNOWN,0
473,logicminds,dcrdata,UNKNOWN,0
474,dajohi,dcrdata,UNKNOWN,0
475,samparsky,dcrdata,UNKNOWN,0
476,s-ben,dcrdata,UNKNOWN,0
